%s Object/Link,,%s-object/-koppeling,B/-,COM,,WIN,PUB
Print Truetype as Graphics,,Truetype-lettertype als grafische tekens afdrukken,T,DIA,,WIN,PUB
Printer,,Printer,P,OPT,,WIN,PUB
Printer Setup,,Printerinstelling,I,BUT,,WIN,PUB
Printer: System Default,,Standaardprinter,,DIA,,WIN,PUB
Problem:,,Probleem:,,DIA,,WIN,PUB
Publication Name,,Bestandsnaam:,B,TXB,,WIN,PUB
Publication Name:,,Publikatienaam:,N,TXB,,WIN,PUB
Publisher Demos,,Publisher-demo's,,TDB,,WIN,PUB
Quick Demos,,Demo's,D,COM,,WIN,PUB
Read,,Lezen,L,COM,,WIN,PUB
Read Only,,Alleen-lezen,A,CHX,,WIN,PUB
Redo Adjust Colomns,,Opnieuw Kolommen aanpassen,O,COM,,WIN,PUB
Redo Adjust Column,,Opnieuw Kolom aanpassen,O,COM,,WIN,PUB
Redo Adjust Row,,Opnieuw Rij aanpassen,O,COM,,WIN,PUB
Redo Adjust rows,,Opnieuw Rijen aanpassen,O,COM,,WIN,PUB
Redo Adjust shape,,Opnieuw Vorm aanpassen,O,COM,,WIN,PUB
Redo Autoflow,,Opnieuw Automatische overloop,O,COM,,WIN,PUB
Redo AutoFormat,,Opnieuw Automatische opmaak,O,COM,,WIN,PUB
Redo Border,,Opnieuw Frame,O,COM,,WIN,PUB
Redo Border Art,,Opnieuw Kaderillustratie,O,COM,,WIN,PUB
Redo BorderArt,,Opnieuw Kaderillustratie,O,COM,,WIN,PUB
Redo Bring Forward,,Opnieuw Niveau hoger,O,COM,,WIN,PUB
Redo Bring to Front,,Opnieuw Naar voorgrond,O,COM,,WIN,PUB
Redo Change Cell Properties,,Opnieuw Celeigenschappen wijzigen,O,COM,,WIN,PUB
Redo Change Frame Properties,,Opnieuw Frame-eigenschappen,O,COM,,WIN,PUB
Redo Change Text Frame Properties,,Opnieuw Tekstframe-eigenschappen wijzigen,O,COM,,WIN,PUB
Redo Copy Cells,,Opnieuw Cellen kopiëren,O,COM,,WIN,PUB
Redo Copy Object(s),,Opnieuw Object(en) kopiëren,O,COM,,WIN,PUB
Redo Copy Text,,Opnieuw Tekst kopiëren,O,COM,,WIN,PUB
Redo Create Object,,Opnieuw Object maken,O,COM,,WIN,PUB
Redo Crop Object,,Opnieuw Object bijsnijden,O,COM,,WIN,PUB
Redo Crop Picture,,Opnieuw Figuur bijsnijden,O,COM,,WIN,PUB
Redo Cut Cells,,Opnieuw Cellen knippen,O,COM,,WIN,PUB
Redo Cut Object(s),,Opnieuw Object(en) knippen,O,COM,,WIN,PUB
Redo Cut Text,,Opnieuw Tekst knippen,O,COM,,WIN,PUB
Redo Delete Column,,Opnieuw Kolom verwijderen,O,COM,,WIN,PUB
Redo Delete Object(s),,Opnieuw Object(en) verwijderen,O,COM,,WIN,PUB
Redo Delete Page(s),,Opnieuw Pagina's verwijderen,O,COM,,WIN,PUB
Redo Delete Row,,Opnieuw Rij verwijderen,O,COM,,WIN,PUB
Redo Delete Text,,Opnieuw Tekst verwijderen,O,COM,,WIN,PUB
Redo Fill Down,,Opnieuw Omlaag kopiëren,O,COM,,WIN,PUB
Redo Fill Right,,Opnieuw Rechts kopiëren,O,COM,,WIN,PUB
Redo Flip/rotate,,Opnieuw Draaien/spiegelen,O,COM,,WIN,PUB
Redo Format,,Opnieuw Opmaak,O,COM,,WIN,PUB
Redo Frame Margins,,Opnieuw Framemarges,O,COM,,WIN,PUB
Redo Group Objects,,Opnieuw Objecten groeperen,O,COM,,WIN,PUB
Redo Hyphenate,,Opnieuw Afbreken,O,COM,,WIN,PUB
Redo Import Graphic,,Opnieuw Afbeelding importeren,O,COM,,WIN,PUB
Redo Import Text,,Opnieuw Tekst importeren,O,COM,,WIN,PUB
Redo Insert Column,,Opnieuw Kolom invoegen,O,COM,,WIN,PUB
Redo Insert Object,,Opnieuw Object invoegen,O,COM,,WIN,PUB
Redo Insert Page Number,,Opnieuw Paginanummers invoegen,O,COM,,WIN,PUB
Redo Insert Pages,,Opnieuw Pagina's invoegen,O,COM,,WIN,PUB
Redo Insert Row,,Opnieuw Rij invoegen,O,COM,,WIN,PUB
Redo Insert Symbol,,Opnieuw Speciaal teken invoegen,O,COM,,WIN,PUB
Redo Line,,Opnieuw Lijn,O,COM,,WIN,PUB
Redo Line Up Objects,,Opnieuw Objecten rangschikken,O,COM,,WIN,PUB
Redo Lock / Unlock,,Opnieuw Vergrendelen/ontgrendelen,O,COM,,WIN,PUB
Redo Lock/Unlock Table,,Opnieuw Tabel vergrendelen/ontgrendelen,O,COM,,WIN,PUB
Redo Manual Hyphenate,,Opnieuw Handmatig afbreken,O,COM,,WIN,PUB
Redo Merge Cells,,Opnieuw Cellen samenvoegen,O,COM,,WIN,PUB
Redo Move Cells,,Opnieuw Cellen verplaatsen,O,COM,,WIN,PUB
Redo Move Object(s),,Opnieuw Object(en) verplaatsen,O,COM,,WIN,PUB
Redo Move Text,,Opnieuw Tekst verplaatsen,O,COM,,WIN,PUB
Redo Nudge Objects,,Opnieuw Objecten verschuiven,O,COM,,WIN,PUB
Redo Paste Cells,,Opnieuw Cellen plakken,O,COM,,WIN,PUB
Redo Paste Object,,Opnieuw Object plakken,O,COM,,WIN,PUB
Redo Paste Object(s),,Opnieuw Object(en) plakken,O,COM,,WIN,PUB
Redo Paste Picture,,Opnieuw Figuur plakken,O,COM,,WIN,PUB
Redo Paste Text,,Opnieuw Tekst plakken,O,COM,,WIN,PUB
Redo Polygon Vertex Change,,Opnieuw Veelhoekvertex wijzigen,O,COM,,WIN,PUB
Redo Replace,,Opnieuw Vervangen,O,COM,,WIN,PUB
Redo Replace All,,Opnieuw Alles vervangen,O,COM,,WIN,PUB
Redo Resize Object,,Opnieuw Objectformaat wijzigen,O,COM,,WIN,PUB
Redo Scale Object,,Opnieuw Objectformaat wijzigen,O,COM,,WIN,PUB
Redo Scale Picture,,Opnieuw Figuurformaat wijzigen,O,COM,,WIN,PUB
Redo Send Backward,,Opnieuw Niveau lager,O,COM,,WIN,PUB
Redo Send to Back,,Opnieuw Naar achtergrond,O,COM,,WIN,PUB
Redo Shading,,Opnieuw Arcering,O,COM,,WIN,PUB
Redo Shadow,,Opnieuw Schaduw,O,COM,,WIN,PUB
Redo Split Cells,,Opnieuw Cellen splitsen,O,COM,,WIN,PUB
Redo Text Editing,,Opnieuw Tekst bewerken,O,COM,,WIN,PUB
Redo Text Frame Linking,,Opnieuw Tekstframekoppeling,O,COM,,WIN,PUB
Redo Text Styles,,Opnieuw Opmaakprofiel,O,COM,,WIN,PUB
Redo Typing,,Opnieuw Typen,O,COM,,WIN,PUB
Redo Ungroup Objects,,Opnieuw Objectgroep opheffen,O,COM,,WIN,PUB
Remind To Save Publications,,Herinnering voor het opslaan van publikaties,N,CHX,,WIN,PUB
Reminders and demos,,Herinneringen en demo's,,DIA,,WIN,PUB
Rename style,,Opmaakprofielnaam wijzigen,,TDB,,WIN,PUB
Rename style:,,Opmaakprofielnaam:,N,TXB,,WIN,PUB
Rename this style,,Opmaakprofielnaam wijzigen,W,OPT,,WIN,PUB
Replace,,Vervangen,E,BUT,,WIN,PUB
Replace,,Vervangen,E,COM,,WIN,PUB
Replace,,Vervangen,,TDB,,WIN,PUB
Replace all,,Alles vervangen,A,BUT,,WIN,PUB
Replace with:,,Vervangen door:,D,TXB,,WIN,STANDARD
Reset All,,Alles opnieuw instellen,O,BUT,,WIN,PUB
Resolution (DPI),,Resolutie (DPI),R,DIA,,WIN,PUB
Result,,Resultaat,,DIA,,WIN,PUB
Right,,Rechts,R,OPT,,WIN,PUB
Right :,,Rechts:,R,TXB,,WIN,PUB
Right Edges,,Rechterrand,R,OPT,,WIN,PUB
Right Page,,Rechterpagina,R,CHX,,WIN,PUB
Right Page Only,,Rechterpagina,R,OPT,,WIN,PUB
Right:,,Rechts:,R,TXB,,WIN,PUB
Rotate Left,,Linksom draaien,L,COM,,WIN,PUB
Rotate Right,,Rechtsom draaien,R,COM,,WIN,PUB
Rotate/Flip,,Draaien/spiegelen,D,COM,,WIN,PUB
Row(s),,Rij(en),R,OPT,,WIN,PUB
Rows:,,Rijen:,R,TXB,,WIN,PUB
Run,,Starten,T,BUT,,WIN,STANDARD
Run Application,,Toepassing starten,,TDB,,WIN,PUB
Sample,,Voorbeeld,,DIA,,WIN,PUB
Save,,Opslaan,P,BUT,,WIN,PUB
Save,,Opslaan,P,COM,,WIN,STANDARD
Save,,Opslaan,,DIA,,WIN,PUB
Save All Text In Publication As:,,Alle tekst in de publikatie opslaan als:,E,CHX,,WIN,PUB
Save As,,Opslaan als ,L,COM,,WIN,STANDARD
Save As,,Opslaan als,,TDB,,WIN,PUB
Save example,,Voorbeeld opslaan,V,CHX,,WIN,PUB
Save Selection As:,,Selectie opslaan als:,E,CHX,,WIN,PUB
Scale Height:,,Hoogte:,H,TXB,,WIN,PUB
Scale Object,,Objectformaat wijzigen,W,COM,,WIN,PUB
Scale Object,,Objectformaat wijzigen,,TDB,,WIN,PUB
Scale Picture,,Figuurformaat wijzigen,W,COM,,WIN,PUB
Scale Picture,,Figuurformaat wijzigen,,TDB,,WIN,PUB
Scale Width:,,Breedte:,B,TXB,,WIN,PUB
Scaling (%),,Aanpassen (%),A,TXB,,WIN,PUB
Search For Help On,,Zoeken,Z,COM,,WIN,STANDARD
Search on drive:,,Station:,S,DIA,,WIN,PUB
Search Options:,,Zoekopties:,,DIA,,WIN,PUB
Select a category:,,Selecteer een categorie:,E,TXB,,WIN,PUB
Select a demo from the list and choose OK.,,Selecteer een demo uit de lijst en kies OK.,,TXT,,WIN,PUB
Select a Demo:,,Een demo selecteren:,S,DIA,,WIN,PUB
Select a File,,Een bestand selecteren,E,DIA,,WIN,PUB
Select a Page Layout:,,Een paginalayout selecteren,E,DIA,,WIN,PUB
Select a PageWizard:,,Een Wizard selecteren:,E,DIA,,WIN,PUB
Select a Side,,Een rand selecteren,S,DIA,,WIN,PUB
Select a Template:,,Een sjabloon selecteren:,E,DIA,,WIN,PUB
Select a Wizard,,Een Wizard selecteren,W,DIA,,WIN,PUB
Select All,,Alles selecteren,A,COM,,WIN,PUB
Select Source,,Scanner selecteren,C,COM,,WIN,PUB
Select the application you want to run and choose OK.,,Selecteer de toepassing die u wilt starten en kies OK.,,DIA,,WIN,PUB
Selected Characters Only,,Alleen geselecteerde tekens,A,OPT,,WIN,PUB
Selection,,Selectie,S,OPT,,WIN,PUB
Send Farther,,Niveau lager,N,COM,,WIN,PUB
Send Header,,Header verzenden,V,BUT,,WIN,PUB
Send Header,,Header verzenden,,TDB,,WIN,PUB
Send Header with Each Job,,Header verzenden bij elke taak,T,CHX,,WIN,PUB
Send Now,,Nu verzenden,U,BUT,,WIN,PUB
Send to Back,,Naar achtergrond,A,COM,,WIN,PUB
Send to Printer as:,,Naar de printer verzenden als:,D,DIA,,WIN,PUB
Seperator:,,Scheidingsteken:,T,DIA,,WIN,PUB
Serial Number:,,Serienummer:,,TXT,,WIN,PUB
Set,,Instellen,I,BUT,,WIN,PUB
Set Spacing For,,Tekenafstand instellen voor,,DIA,,WIN,PUB
Setup      (zie Print Setup dialog),,Instellen     (zie dialoogvenster Printerinstelling),I,BUT,,WIN,PUB
Shading,,Arcering,A,CHX,,WIN,PUB
Shading,,Arcering,A,COM,,WIN,PUB
Shading,,Arcering,,TDB,,WIN,PUB
Shadow,,Schaduw,S,COM,,WIN,PUB
Short Edge,,Korte zijde papier,O,OPT,,WIN,PUB
Show Boundaries and Guides,,Begrenzingen en hulplijnen weergeven,B,COM,,WIN,PUB
Show for This Publication,,In deze publikatie weergeven,I,CHX,,WIN,PUB
Show Pictures,,Figuren weergeven,F,COM,,WIN,PUB
Show Rulers,,Linialen weergeven,L,COM,,WIN,PUB
Show Special Characters,,Speciale tekens weergeven,P,COM,,WIN,PUB
Show Status Line,,Statusbalk weergeven,T,COM,,WIN,PUB
Show Symbols From:,,Symbolen uit:,S,DIA,,WIN,PUB
Show Toolbar Text,,Werkbalktekst weergeven,W,COM,,WIN,PUB
Shrink the frame to fit the picture,,Frame aanpassen aan figuur,R,OPT,,WIN,PUB
Size,,Pt:,P,DIA,,WIN,STANDARD
Size:,,Formaat:,F,DIA,,WIN,PUB
Small Capitals,,Kleine hoofdletters,I,CHX,,WIN,PUB
Snap to guides,,Op hulplijnen uitlijnen,H,COM,,WIN,PUB
Snap to ruler Marks,,Op liniaalmarkeringen uitlijnen,U,COM,,WIN,PUB
Soft-Art,,"Spellingcontrole en Spellingcontroleprogramma van Soft-Art: Copyright 1984-93, Bedrijfsgeheim, Soft-Art, Inc.  Alle rechten voorbehouden.",,TXT,,WIN,PUB
Source,,Bronbestand,,DIA,,WIN,PUB
Source,,Bron,,TXT,,WIN,PUB
Source:,,Invoer:,I,DIA,,WIN,PUB
Source:,,Bronbestand:,B,OPT,,WIN,PUB
Source:,,Bronbestand:,B,TXB,,WIN,PUB
Spacing between characters,,Tekenafstand,F,COM,,WIN,PUB
Spacing between characters,,Tekenafstand,F,OPT,,WIN,PUB
Spacing between characters,,Tekenafstand,,TDB,,WIN,PUB
Spacing Options,,Opties voor tekenafstand,,DIA,,WIN,PUB
Special Fold,,Speciale vouw,V,OPT,,WIN,PUB
Special Size,,Speciaal formaat,F,OPT,,WIN,PUB
Specific Printer:,,Specifieke printer:,P,OPT,,WIN,PUB
Split Cells,,Cellen splitsen,C,COM,,WIN,PUB
Squeeze Letters Together,,Tekens samenvoegen,K,OPT,,WIN,PUB
Start At:,,Beginnen bij:,B,DIA,,WIN,PUB
Start from Scratch,,Een nieuwe publikatie maken,N,BUT,,WIN,PUB
Start Search,,Zoeken,Z,BUT,,WIN,PUB
Start Up,,Starten,,TDB,,WIN,PUB
Starting Page Number:,,Eerste paginanummer:,E,TXB,,WIN,PUB
Stretch the Picture to fit the frame,,Figuur aanpassen aan frame,F,OPT,,WIN,PUB
Style,,Patroon:,P,DIA,,WIN,PUB
Style:,,Patroon:,P,OPT,,WIN,PUB
Subscript,,Subscript,B,OPT,,WIN,PUB
Substitution,,Vervanging,,TDB,,WIN,PUB
Suggest Hyphens for This Story,,Afbreekstreepjes voorstellen,A,OPT,,WIN,PUB
Suggestions:,,Suggesties:,U,OPT,,WIN,PUB
Superscript,,Superscript,U,OPT,,WIN,PUB
Superscript/Subscript,,Super/Subscript,,DIA,,WIN,PUB
System Info,,System Info,,DIA,,WIN,PUB
Tab Positions:,,Tabposities:,P,TXB,,WIN,PUB
Table button,,knop Tabel,,TXB,,WIN,PUB
Table Cell Properties,,Celeigenschappen,E,COM,,WIN,PUB
Table Cell Properties,,Celeigenschappen,,TDB,,WIN,PUB
Table Format,,Tabelopmaak,T,DIA,,WIN,PUB
Table Format:,,Tabelopmaak:,T,DIA,,WIN,PUB
Tables,,Tabel,T,MNU,,WIN,PUB
Tabs,,Tabs,T,COM,,WIN,PUB
Tabs,,Tabs,T,OPT,,WIN,PUB
Tabs,,Tabs,,TDB,,WIN,PUB
Template,,Sjabloon,B,CHX,,WIN,PUB
Text Alignment,,Uitlijning,U,CHX,,WIN,PUB
Text Editing,,Tekst bewerken,,DIA,,WIN,PUB
Text Frame Properties,,Tekstframe-eigenschappen,E,COM,,WIN,PUB
Text Frame Properties,,Tekstframe-eigenschappen,,TDB,,WIN,PUB
Text in Overflow Mode,,Tekst in de overloopmodus,T,CHX,,WIN,PUB
Text Styles,,Opmaakprofiel,O,COM,,WIN,PUB
Text Styles,,Opmaakprofiel,,TDB,,WIN,PUB
This product is licensed to:,,Een gebruiksrecht op dit exemplaar van Microsoft Publisher 2.0 is verleend aan:,,TXT,,WIN,PUB
This story is automatically hyphenated.,,De woorden in dit verhaal zijn automatisch afgebroken.,,TXT,,WIN,PUB
"This story is either manually hyphenated, or has no hyphenation at all",,De woorden in dit verhaal zijn handmatig afgebroken of niet afgebroken,,TXT,,WIN,PUB
Tight,,Dicht op elkaar,D,OPT,,WIN,PUB
Tile Printing Options,,Delen afdrukken,,TDB,,WIN,PUB
To:,,T/m:,T,TXB,,WIN,STANDARD
To:,,Wijzigen in:,W,TXB,,WIN,PUB
Tools,,Extra,X,MNU,,WIN,STANDARD
Top :,,Boven:,B,TXB,,WIN,PUB
Top Edges,,Bovenrand,B,OPT,,WIN,PUB
Top to Bottom,,Van boven naar beneden,,DIA,,WIN,PUB
Top:,,Boven:,B,TXB,,WIN,PUB
TrueType Fonts,,True Type-lettertypen,,DIA,,WIN,PUB
Turn off automatic hyphenation,,Automatisch afbreken uitschakelen,A,OPT,,WIN,PUB
Type,,Type,Y,DIA,,WIN,PUB
Type,,Type,,TXT,,WIN,PUB
Type of Object:,,Objecttype:,O,DIA,,WIN,PUB
Type the application name and click OK.,,Typ de naam van de toepassing en kies OK.,,TXB,,WIN,PUB
Typing Replaces Selection,,Typen overschrijft selectie,T,CHX,,WIN,PUB
"Unauthorized reproduction or distribution of this program, or any portion of it, may result in severe civil and criminal penalties, and will be prosecuted to the maximum extent possible.",,"Onrechtmatige verveelvoudiging of distributie van dit programma of een deel ervan is verboden en strafbaar, en zal met alle beschikbare juridische middelen worden bestreden. ",,TXT,,WIN,PUB
Underline All,,Alles onderstrepen,A,CHX,,WIN,PUB
Underline Words,, Woorden onderstrepen,W,CHX,,WIN,PUB
Undo,,Ongedaan maken,O,COM,,WIN,STANDARD
Undo Adjust Colomns,,Ongedaan maken Kolommen aanpassen,O,COM,,WIN,PUB
Undo Adjust Column,,Ongedaan maken Kolom aanpassen,O,COM,,WIN,PUB
Undo Adjust Row,,Ongedaan maken Rij aanpassen,O,COM,,WIN,PUB
Undo Adjust rows,,Ongedaan maken Rijen aanpassen,O,COM,,WIN,PUB
Undo Adjust shape,,Ongedaan maken Vorm aanpassen,O,COM,,WIN,PUB
Undo Autoflow,,Ongedaan maken Automatische overloop,O,COM,,WIN,PUB
Undo AutoFormat,,Ongedaan maken Automatische opmaak,O,COM,,WIN,PUB
Undo Border,,Ongedaan maken Rand,O,COM,,WIN,PUB
Undo Border Art,,Ongedaan maken Kaderillustratie,O,COM,,WIN,PUB
Undo BorderArt,,Ongedaan maken Kaderillustratie,O,COM,,WIN,PUB
Undo Bring Forward,,Ongedaan maken Niveau hoger,O,COM,,WIN,PUB
Undo Bring to Front,,Ongedaan maken Naar voorgrond,O,COM,,WIN,PUB
Undo Change Cell Properties,,Ongedaan maken Celeigenschappen wijzigen,O,COM,,WIN,PUB
Undo Change Frame Properties,,Ongedaan maken Frame-eigenschappen wijzigen,O,COM,,WIN,PUB
Undo Change Text Frame Properties,,Ongedaan maken Tekstframe-eigenschappen wijzigen,O,COM,,WIN,PUB
Undo Copy Cells,,Ongedaan maken Cellen kopiëren,O,COM,,WIN,PUB
Undo Copy Object(s),,Ongedaan maken Object(en) kopiëren,O,COM,,WIN,PUB
Undo Copy Text,,Ongedaan maken Tekst kopiëren,O,COM,,WIN,PUB
Undo Create Object,,Ongedaan maken Object maken,O,COM,,WIN,PUB
Undo Crop Object,,Ongedaan maken Object bijsnijden,O,COM,,WIN,PUB
Undo Crop Picture,,Ongedaan maken Figuur bijsnijden,O,COM,,WIN,PUB
Undo Cut Cells,,Ongedaan maken Cellen knippen,O,COM,,WIN,PUB
Undo Cut Object(s),,Ongedaan maken Object(en) knippen,O,COM,,WIN,PUB
Undo Cut Text,,Ongedaan maken Tekst knippen,O,COM,,WIN,PUB
Undo Delete Column,,Ongedaan maken Kolom verwijderen,O,COM,,WIN,PUB
Undo Delete Object(s),,Ongedaan maken Object(en) verwijderen,O,COM,,WIN,PUB
Undo Delete Page(s),,Ongedaan maken Pagina(´s) verwijderen,O,COM,,WIN,PUB
Undo Delete Row,,Ongedaan maken Rij verwijderen,O,COM,,WIN,PUB
Undo Delete Text,,Ongedaan maken Tekst  verwijderen,O,COM,,WIN,PUB
Undo Edit %s Object,,Ongedaan maken %s-object bewerken,O,COM,,WIN,PUB
Undo Edit %s Object,,Ongedaan maken %s-object bewerken,O,COM,,WIN,PUB
Undo Fill Down,,Ongedaan maken Omlaag kopiëren,O,COM,,WIN,PUB
Undo Fill Right,,Ongedaan maken Rechts kopiëren,O,COM,,WIN,PUB
Undo Flip/rotate,,Ongedaan maken Draaien/spiegelen,O,COM,,WIN,PUB
Undo Format,,Ongedaan maken Opmaak,O,COM,,WIN,PUB
Undo Frame Margins,,Ongedaan maken Framemarges,O,COM,,WIN,PUB
Undo Group Objects,,Ongedaan maken Objecten groeperen,O,COM,,WIN,PUB
Undo Hyphenate,,Ongedaan maken Afbreken,O,COM,,WIN,PUB
Undo Import Graphic,,Ongedaan maken Afbeelding importeren,O,COM,,WIN,PUB
Undo Import Text,,Ongedaan maken Tekst importeren,O,COM,,WIN,PUB
Undo Insert Column,,Ongedaan maken Kolom invoegen,O,COM,,WIN,PUB
Undo Insert Object,,Ongedaan maken Object invoegen,O,COM,,WIN,PUB
Undo Insert Page Number,,Ongedaan maken Paginanummers invoegen,O,COM,,WIN,PUB
Undo Insert Pages,,Ongedaan maken Pagina's invoegen,O,COM,,WIN,PUB
Undo Insert Row,,Ongedaan maken Rij invoegen,O,COM,,WIN,PUB
Undo Insert Symbol,,Ongedaan maken Speciaal teken invoegen,O,COM,,WIN,PUB
Undo Line,,Ongedaan maken Lijn,O,COM,,WIN,PUB
Undo Line Up Objects,,Ongedaan maken Objecten rangschikken,O,COM,,WIN,PUB
Undo Lock / Unlock,,Ongedaan maken Vergrendelen/ontgrendelen,O,COM,,WIN,PUB
Undo Lock/Unlock Table,,Ongedaan maken Vergrendelen/ontgrendelen tabel,O,COM,,WIN,PUB
Undo Manual Hyphenate,,Ongedaan maken Handmatig afbreken,O,COM,,WIN,PUB
Undo Merge Cells,,Ongedaan maken Cellen samenvoegen,O,COM,,WIN,PUB
Undo Move Cells,,Ongedaan maken Cellen verplaatsen,O,COM,,WIN,PUB
Undo Move Object(s),,Ongedaan maken Object(en) verplaatsen,O,COM,,WIN,PUB
Undo Move Text,,Ongedaan maken Tekst verplaatsen,O,COM,,WIN,PUB
Undo Nudge Objects,,Ongedaan maken Objecten verschuiven,O,COM,,WIN,PUB
Undo Paste Cells,,Ongedaan maken Cellen plakken,O,COM,,WIN,PUB
Undo Paste Object,,Ongedaan maken Object plakken,O,COM,,WIN,PUB
Undo Paste Object(s),,Ongedaan maken Object(en) plakken,O,COM,,WIN,PUB
Undo Paste Picture,,Ongedaan maken Figuur plakken,O,COM,,WIN,PUB
Undo Paste Text,,Ongedaan maken Tekst plakken,O,COM,,WIN,PUB
Undo Polygon Vertex Change,,Ongedaan maken Veelhoekvertex wijzigen,O,COM,,WIN,PUB
Undo Replace,,Ongedaan maken Vervangen,O,COM,,WIN,PUB
Undo Replace All,,Ongedaan maken Alles vervangen,O,COM,,WIN,PUB
Undo Resize Object,,Ongedaan maken Objectformaat wijzigen,O,COM,,WIN,PUB
Undo Scale Object,,Ongedaan maken Objectformaat wijzigen,O,COM,,WIN,PUB
Undo Scale Picture,,Ongedaan maken Figuurformaat wijzigen,O,COM,,WIN,PUB
Undo Send Backward,,Ongedaan maken Niveau lager,O,COM,,WIN,PUB
Undo Send to Back,,Ongedaan maken Naar achtergrond,O,COM,,WIN,PUB
Undo Shading,,Ongedaan maken Arcering,O,COM,,WIN,PUB
Undo Shadow,,Ongedaan maken Schaduw,O,COM,,WIN,PUB
Undo Split Cells,,Ongedaan maken Cellen splitsen,O,COM,,WIN,PUB
Undo Text Editing,,Ongedaan maken Tekst bewerken,O,COM,,WIN,PUB
Undo Text Frame Linking,,Ongedaan maken Tekstframekoppeling,O,COM,,WIN,PUB
Undo Text Styles,,Ongedaan maken Opmaakprofiel,O,COM,,WIN,PUB
Undo Typing,,Ongedaan maken Typen,O,COM,,WIN,PUB
Undo Ungroup Objects,,Ongedaan maken Objectgroep opheffen,O,COM,,WIN,PUB
Ungroup Objects,,Objectgroep opheffen,O,COM,,WIN,PUB
Up,,Omhoog,O,OPT,,WIN,PUB
Update,,Bijwerken,,TXT,,WIN,PUB
Update now,,Nu bijwerken,B,BUT,,WIN,PUB
Use a PageWizard/Assistant,,Een Wizard gebruiken,W,BUT,,WIN,PUB
Use a Template,,Een sjabloon gebruiken,S,BUT,,WIN,PUB
Use Helpful Pointers,,Handige aanwijzers gebruiken,A,CHX,,WIN,PUB
Use Print TroubleShooter,,Afdrukproblemen oplossen,O,CHX,,WIN,PUB
Use Printer Font:,,Printerlettertype gebruiken:,P,DIA,,WIN,PUB
Use Printer Fonts For all TrueType Fonts,,Printerlettertypen gebruiken voor alle True Type-lettertypen,P,CHX,,WIN,PUB
Use Recommended Border Size,,Aanbevolen kaderbreedte gebuiken,A,CHX,,WIN,PUB
Use Right Mouse Button Menus,,Snelmenu's gebruiken,S,CHX,,WIN,PUB
Use Substitution Table,,Vervangingstabel gebruiken,T,CHX,,WIN,PUB
Use this option to create,,Gebruik deze optie voor het maken van:,,TXT,,WIN,PUB
Very Loose,,Ver uit elkaar,R,OPT,,WIN,PUB
Very tight,,Heel dicht op elkaar,E,OPT,,WIN,PUB
View More Options,,Meer opties,O,BUT,,WIN,PUB
View Single Page,,Eén pagina bekijken,B,COM,,WIN,PUB
View Two Page Spread,,Twee pagina's bekijken,B,COM,,WIN,PUB
Virtual Memory (KB):,,Virtueel geheugen (kB):,V,TXB,,WIN,PUB
Warning: This computer program is protected by copyright law and international treaties..,,Waarschuwing: dit computerprogramma is beschermd door copyright en internationale verdragen zoals beschreven in het dialoogvenster Info.,,TXT,,WIN,PUB
Welcome to Publisher,,Welkom bij Publisher,,DIA,,WIN,PUB
Width:,,Breedte:,B,TXB,,WIN,PUB
WordArt button,,knop WordArt - zie WordArt glossary,,TDB,,WIN,PUB
Wrap Text around,,Tekstomloop rond:,,DIA,,WIN,PUB
Yes,,Ja,J,BUT,,WIN,STANDARD
"Your publication has XXX pages, starting on page XXX and ending on page XXX.",,De publikatie bevat XXX pagina's: van pagina XXX tot en met pagina XXX.,,TXT,,WIN,PUB
