"""from"" file",,källfil,,GEN,N,DOS,MS-DOS,generell term
"""to"" file",,målfil,,GEN,N,DOS,MS-DOS,generell term
#,,#-tecken,,GEN,N,DOS,MS-DOS,generell term
@,,"""@-tecken""",,GEN,N,DOS,MS-DOS,generell term
"1.2 Mb 5¼"" High Density",,"1,2 Mb 5,25-tums högdensitetsdiskett  ",,DIA,N,DOS,MS-DOS,Backup-modul
"1.44 Mb 3½"" High Density",,"1,44 Mb 3,5-tums högdensitetsdiskett",,DIA,N,DOS,MS-DOS,Backup-modul
25 lines ,,25 rader,2,DIA,N,DOS,MS-DOS,Backup-modul
"360 Kb 5¼"" Low-Density",,"360 kb 5,25-tums lågdensitetsdiskett",,DIA,N,DOS,MS-DOS,Backup-modul
50 lines,,50 rader,5,DIA,N,DOS,MS-DOS,Backup-modul
"720 Kb 3½"" Low-Density",,"720 kb 3,5-tums lågdensitetsdiskett",,DIA,N,DOS,MS-DOS,Backup-modul
"720 Kb 5¼"" Low-Density",,"720 kb 5,25-tums lågdensitetsdiskett",,DIA,N,DOS,MS-DOS,Backup-modul
A&B,,A&B,,DIA,N,DOS,MS-DOS,Backup-modul
abort,,avbryta,,GEN,V,DOS,MS-DOS,generell term
"Abort, Retry, Ignore, Fail,  ",,"Avbryt, Försök igen, Ignorera, Fortsätt",,GEN,V,DOS,MS-DOS,generell term
About to delete: EXEMPLE.XYZ,,Kommer att ta bort EXAMPLE.XYZ,,TXT,N,DOS,MS-DOS,Backup-modul
About Undelete...,,   Om Undelete...,O,COM,N,DOS,MS-DOS,Undel-modul
About Windows Backup,,   Om Backup för Windows,O,COM,N,DOS,MS-DOS,Backup-modul
About...,,   Om Undelete...,O,COM,N,DOS,MS-DOS,Undel-modul
"absolut (disk sector,DEBUG)",,absolut,,GEN,ADV,DOS,MS-DOS,generell term
access,,åtkomst,,GEN,N,DOS,MS-DOS,generell term
access right,,behörighet,,GEN,N,DOS,MS-DOS,generell term
Activate,,Aktivera,,COM,V,DOS,MS-DOS,Defrag
active (DOS partition),,aktiv,,GEN,ADJ,DOS,MS-DOS,generell term
active directory (same as 'current...'),,aktuell katalog,,GEN,N,DOS,MS-DOS,generell term
active drive (same as 'current...'),,aktuell enhet,,GEN,N,DOS,MS-DOS,generell term
Activity log,,Händelse-/Aktivitetslogg,,TXT,N,DOS,MS-DOS,MSAVF-modul
adapter,,adapter,,GEN,N,DOS,MS-DOS,generell term
add,,"addera, lägga till",,GEN,V,DOS,MS-DOS,generell term + Backup-modul
Administrator(s),,administratör(er),,TXT,N,DOS,MS-DOS,Backup-modul
Alarm sound,,Varningssignal,,TXT,N,DOS,MS-DOS,MSAVF-modul
alert box,,varningsruta,,GEN,N,DOS,MS-DOS,Backup-modul
alignment,,justering,,GEN,N,DOS,MS-DOS,generell term
All Files,,Alla filer på disken,,DIA,N,DOS,MS-DOS,Backup-modul
allocate,,"allokera, tilldela",,GEN,V,DOS,MS-DOS,generell term
allocation unit,,datablock,,GEN,N,DOS,MS-DOS,generell term
ALT,,ALT,,GEN,N,DOS,MS-DOS,generell term
Alternate Directories,,Alternativa kataloger,,DIA,N,DOS,MS-DOS,Backup-modul
Alternate Directory Too long,,Katalognamnet är för långt,,TXT,N,DOS,MS-DOS,Backup-modul
Alternate Drives,,Alternativa enheter,,DIA,N,DOS,MS-DOS,Backup-modul
Always Format Diskettes,,formatera alltid disketter,,CHX,N,DOS,MS-DOS,Backup-modul
Always Overwrite,,Ersätt alltid,,CHX,N,DOS,MS-DOS,Backup-modul
ampersand (&),,&-tecken,,GEN,N,DOS,MS-DOS,generell term
Anti-Stealth,,Sök smygvirus,Ö,CHX,N,DOS,MS-DOS,MSAVF-modul
Anti-Stealth option,,alternativet Sök smygvirus,,CHX,N,DOS,MS-DOS,MSAVF-modul
Anti-virus,,Antivirus,,TXT,N,DOS,MS-DOS,MSAVF-modul
append,,"lägga till, bifoga",,GEN,V,DOS,MS-DOS,generell term
appended path (APPEND),,(tillagd) sökväg,,GEN,N,DOS,MS-DOS,generell term
appendix,,bilaga,,GEN,N,DOS,MS-DOS,generell term
application,,"program, applikation",,GEN,N,DOS,MS-DOS,generell term
application program,,"program, applikation",,GEN,N,DOS,MS-DOS,generell term
application software,,"program, programvara",,GEN,N,DOS,MS-DOS,generell term
Apply Date Range,,Använd datumintervall,A,CHX,N,DOS,MS-DOS,Backup-modul
Apply to Subdirectories,,Använd i underkataloger ,A,OPT,N,DOS,MS-DOS,Backup-modul
archive,,arkiv,,GEN,N,DOS,MS-DOS,generell term
Archive,,arkiv,,TXT,N,DOS,MS-DOS,Backup-modul
archive bit,,arkivbit,,TXT,N,DOS,MS-DOS,Backup-modul
archive flag,,arkivflagga,,TXT,N,DOS,MS-DOS,Backup-modul
Are you sure you want to cancel the backup?,,Vill du avbryta Säkerhetskopiera?,,TXT,N,DOS,MS-DOS,Backup-modul
Are you sure you want to cancel the compare?,,Vill du avbryta Jämför?,,TXT,N,DOS,MS-DOS,Backup-modul
Are you sure you want to cancel the rebuild?,,Vill du avbryta Återskapa?,,TXT,N,DOS,MS-DOS,Backup-modul
Are you sure you want to cancel the restore?,,Vill du avbryta Återställ?,,TXT,N,DOS,MS-DOS,Backup-modul
Are you sure you want to cancel the retrieve?,,Vill du avbryta Hämta?,,TXT,N,DOS,MS-DOS,Backup-modul
argument,,argument,,GEN,N,DOS,MS-DOS,generell term
arrow key,,piltangent,,GEN,N,DOS,MS-DOS,generell term
assembler  (DEBUG),,assemblerare,,GEN,N,DOS,MS-DOS,generell term
assembler statement,,assemblersats,,GEN,N,DOS,MS-DOS,generell term
assembly language,,assemblerspråk,,GEN,N,DOS,MS-DOS,generell term
assign,,"Allokera, tilldela",,GEN,V,DOS,MS-DOS,generell term
Assign,,"Allokera, Tilldela",,MNU,V,DOS,MS-DOS,Defrag
assign (ASSIGN),,tilldela,,GEN,V,DOS,MS-DOS,generell term
associate,,associera,,GEN,V,DOS,MS-DOS,generell term
associate (a code page),,ansluta,,GEN,V,DOS,MS-DOS,generell term
Associate (to a file extension),,koppla,,GEN,V,DOS,MS-DOS,generell term
associate (with a DOS partition),,associera,,GEN,V,DOS,MS-DOS,generell term
asterisk,,asterisk,,GEN,N,DOS,MS-DOS,generell term
asterisk wildcard,,asterisk - jokertecken,,GEN,N,DOS,MS-DOS,generell term
asynchronous,,asynkron,,GEN,ADJ,DOS,MS-DOS,generell term
attribute,,"attribut, egenskap, kännetecken",,GEN,N,DOS,MS-DOS,generell term
Attribute,,attribut,,TXT,N,DOS,MS-DOS,MSAVF-modul
attributes,,Attribut,A,TXT,N,DOS,MS-DOS,Backup-modul
Audible Prompts (Beep),,Ljudsignal,,CHX,N,DOS,MS-DOS,Backup-modul
Auto Config,,Automatisk konfiguration,,BUT,N,DOS,MS-DOS,Backup-modul
Auto Configure,,Konfigurera automatiskt,,BUT,N,DOS,MS-DOS,Backup-modul
Auto Floppy Config,,Automatisk diskettkonfiguration ,,OPT,N,DOS,MS-DOS,Backup-modul
Auto Floppy Configure,,Konfigurera diskett automatiskt,,BUT,N,DOS,MS-DOS,Backup-modul
Auto Flush,,automatisk bufferttömning,,GEN,N,DOS,MS-DOS,generell term
Autoconfig,,Automatisk konfiguration,,OPT,N,DOS,MS-DOS,Backup-modul
automated backup,,automatisk säkerhetskopiering,,TXT,N,DOS,MS-DOS,Backup-modul
Automating Backup(s),,automatisera säkerhetskopiering,,TXT,N,DOS,MS-DOS,Backup-modul
Automating Backups Using Setup Files,,automatisera säkerhetskopiering med hjälp av inställningsfiler ,,TXT,N,DOS,MS-DOS,Backup-modul
available (space),,"tillgängligt, ledigt (Om ""ledigt minne"")",,GEN,ADJ,DOS,MS-DOS,generell term
BACK SPACE,,BACKSTEG,,GEN,N,DOS,MS-DOS,generell term
Back up Hidden Files,,Säkerhetskopiera dolda filer,,OPT,N,DOS,MS-DOS,Backup-modul
Back up Read-Only Files,,Säkerhetskopiera skrivskyddade filer ,,OPT,N,DOS,MS-DOS,Backup-modul
Back up System Files,,Säkerhetskopiera systemfiler,,OPT,N,DOS,MS-DOS,Backup-modul
background,,bakgrund,,GEN,N,DOS,MS-DOS,generell term
Background Backup,,Säkerhetskopiering i bakgrunden?,,TXT,N,DOS,MS-DOS,Backup-modul
background color,,bakgrundsfärg,,GEN,N,DOS,MS-DOS,generell term
background printing,,bakgrundsutskrift,,GEN,N,DOS,MS-DOS,generell term
backslash (\),,omvänt snedstreck (\),,GEN,N,DOS,MS-DOS,generell term
Backup,,   Säkerhetskopiera,S,COM,V,DOS,MS-DOS,Backup-modul
backup,,Säkerhetskopia,,GEN,N,DOS,MS-DOS,generell term
Backup,,"Säkerhetskopiera, säkerhetskopia",,BUT,N,DOS,MS-DOS,Backup-modul
backup [n],,säkerhetskopia,,GEN,N,DOS,MS-DOS,generell term
backup [v],,säkerhetskopiera,,GEN,V,DOS,MS-DOS,generell term
Backup canceled.,,Säkerhetskopiera avbrutet,,TXT,N,DOS,MS-DOS,Backup-modul
Backup Catalog,,Förteckning över säkerhetskopierade filer,,TDB,N,DOS,MS-DOS,Backup-modul
Backup Complete,,Säkerhetskopiera färdigt,,DIA,N,DOS,MS-DOS,Backup-modul
backup copy,,säkerhetskopia,,GEN,N,DOS,MS-DOS,generell term
backup cycle,,"tidsintervall mellan säkerhetskopieringar, säkerhetskopieringscykel",,MNU,N,DOS,MS-DOS,Backup-modul
Backup Devices,,Utrustning för säkerhetskopiering,,DIA,N,DOS,MS-DOS,Backup-modul
backup disk,,disk/diskett med säkerhetskopia,,GEN,N,DOS,MS-DOS,generell term
Backup drive,,enhet för säkerhetskopiering,,GEN,N,DOS,MS-DOS,generell term
Backup files,,säkerhetskopierade filer,,TXT,N,DOS,MS-DOS,Backup-modul
Backup Files in Date Range,,Säkerhetskopierade filer i datumintervall,,TDB,N,DOS,MS-DOS,Backup-modul
Backup Fixed Disk,,hårddisk att säkerhetskopiera / säkerhetskopiera hårddisk,,GEN,N,DOS,MS-DOS,generell term
Backup From,,Säkerhetskopiera från,F,DIA,N,DOS,MS-DOS,Backup-modul
Backup from drive,,Säkerhetskopiera från enhet,,DIA,N,DOS,MS-DOS,Backup-modul
backup log file,,loggfil för säkerhetskopiering,,GEN,N,DOS,MS-DOS,generell term
backup media,,säkerhetskopieringsmedia,,TXT,N,DOS,MS-DOS,Backup-modul
Backup options,,Alternativ för Säkerhetskopiera,,TDB,N,DOS,MS-DOS,Backup-modul
Backup Program Window,,Fönster för säkerhetskopieringsprogram ,,TDB,N,DOS,MS-DOS,Backup-modul
Backup Progress window,,Förloppsfönster för Säkerhetskopiera,,DIA,N,DOS,MS-DOS,Backup-modul
Backup Selection Legend,,Förklaring av markering vid säkerhetskopiering,,DIA,N,DOS,MS-DOS,Backup-modul
backup session,,säkerhetskopiering,,TXT,N,DOS,MS-DOS,Backup-modul
backup set,,uppsättning med säkerhetskopior,,TXT,N,DOS,MS-DOS,Backup-modul
Backup Set Catalog,,förteckning över uppsättning med säkerhetskopior,,DIA,N,DOS,MS-DOS,Backup-modul
Backup Time,,Säkerhetskopieringstid ,,DIA,N,DOS,MS-DOS,Backup-modul
Backup To,,Säkerhetskopiera till,T,DIA,N,DOS,MS-DOS,Backup-modul
Backup Type,,Säkerhetskopieringstyp,Y,DIA,N,DOS,MS-DOS,Backup-modul
Backup window,,Fönster där säkerhetskopieringen visas/kan följas,,DIA,N,DOS,MS-DOS,Backup-modul
"bad (allocation unit, link)",,felaktig,,GEN,ADJ,DOS,MS-DOS,generell term
bad (attribute),,ogiltigt (attribut),,GEN,ADJ,DOS,MS-DOS,generell term
"bad (command, device name)",,felaktigt (kommando),,GEN,ADJ,DOS,MS-DOS,generell term
"bad (disk, sector, track)",,"skadad  (disk/sektor), ogiltig (sektorangivelse)",,GEN,N,DOS,MS-DOS,generell term
bad (file size),,ogiltig,,GEN,ADJ,DOS,MS-DOS,generell term
bad req. struct.,,felaktig registreringsstruktur,,GEN,N,DOS,MS-DOS,generell term
Bad request,,Felaktig begäran,,TXT,N,DOS,MS-DOS,Backup-modul
Base Configuration,,Baskonfiguration,,TDB,N,DOS,MS-DOS,Defrag
Basic Skills,,   Grundkunskaper,G,COM,N,DOS,MS-DOS,Backup-modul
Basic Skills,,Grundkunskaper,,GEN,N,DOS,MS-DOS,Undel-modul
Basic/Edit (disk),,Basic/Edit,,GEN,N,DOS,MS-DOS,generell term
batch,,"sats, satsvis",,GEN,N,DOS,MS-DOS,generell term
batch file,,kommandofil,,GEN,N,DOS,MS-DOS,generell term
batch parameter processor,,kommandofilstolk,,GEN,N,DOS,MS-DOS,generell term
batch processing,,satsvis bearbetning,,GEN,N,DOS,MS-DOS,generell term
batch program,,kommandoprogram,,GEN,N,DOS,MS-DOS,generell term
baud rate,,överföringshastighet i baud,,GEN,N,DOS,MS-DOS,generell term
beep (warning),,signal,,GEN,N,DOS,MS-DOS,generell term
Bernouilli,,Bernouilli,,TXT,ADJ,DOS,MS-DOS,Backup-modul
binary,,binär,,GEN,N,DOS,MS-DOS,generell term
binary file,,binärfil,,GEN,N,DOS,MS-DOS,generell term
bit,,bit,,GEN,N,DOS,MS-DOS,generell term
Black & Red,,Svart & röd,,OPT,ADJ,DOS,MS-DOS,Backup-modul
Black and White,,Svartvit,,OPT,ADJ,DOS,MS-DOS,Backup-modul
blank disk,,tom disk/diskett,,GEN,N,DOS,MS-DOS,generell term
blank line,,blankrad,,GEN,N,DOS,MS-DOS,generell term
blank space,,blanksteg,,GEN,N,DOS,MS-DOS,generell term
blink (cursor),,blinkning,,GEN,N,DOS,MS-DOS,generell term
block device,,blockenhet,,GEN,N,DOS,MS-DOS,generell term
block device driver,,drivrutin för blockenhet,,GEN,N,DOS,MS-DOS,generell term
boot,,"starta, systemstart",,GEN,N,DOS,MS-DOS,generell term
boot disk (drive),,startdiskett,,GEN,N,DOS,MS-DOS,generell term
boot drive,,startenhet,,GEN,N,DOS,MS-DOS,generell term
Boot sector,,Startsektor,,TXT,N,DOS,MS-DOS,Backup-modul
Boot sector virus,,Startsektorvirus,,TXT,N,DOS,MS-DOS,MSAVF-modul
bootable,,"möjlig att starta, startbar",,GEN,N,DOS,MS-DOS,generell term
bootstrap,,startprogram,,GEN,N,DOS,MS-DOS,generell term
bracket,,hakparentes,,GEN,N,DOS,MS-DOS,generell term
"BREAK, break key",,"BREAK, bryttangent",,GEN,N,DOS,MS-DOS,generell term
breakpoint,,brytpunkt,,GEN,N,DOS,MS-DOS,generell term
"breakpoint (assembler,DEBUG)",,brytpunkt,,GEN,N,DOS,MS-DOS,generell term
Browse,,Bläddra,,BUT,V,DOS,MS-DOS,Backup-modul
browse key(s),,bläddringstangenter/bläddringsknappar i Hjälp,,GEN,N,DOS,MS-DOS,Backup-modul
buffer,,buffert,,GEN,N,DOS,MS-DOS,generell term
buffers,,buffertar,,TXT,N,DOS,MS-DOS,Backup-modul
Building table,,Skapar tabell,,TXT,N,DOS,MS-DOS,Defrag
busy (port),,upptagen,,GEN,ADJ,DOS,MS-DOS,generell term
button bar,,knappfält,,BUT,N,DOS,MS-DOS,Backup-modul
bypass,,"kringgå, gå förbi",,GEN,V,DOS,MS-DOS,generell term
byte,,byte,,GEN,N,DOS,MS-DOS,generell term
byte string,,bytesträng,,GEN,N,DOS,MS-DOS,generell term
Bytes,,byte,,DIA,N,DOS,MS-DOS,Backup-modul
"call (assembler,DEBUG)",,anrop,,GEN,N,DOS,MS-DOS,generell term
cancel,,"Avbryt, avbryta",,GEN,V,DOS,MS-DOS,generell term
Cancel,,"Avbryt, avbryta",,BUT,V,DOS,MS-DOS,Backup-modul
Cancel Load,,Avbryt Ladda,,TXT,N,DOS,MS-DOS,Backup-modul
cancel mode,,annulleringsläge,,GEN,N,DOS,MS-DOS,generell term
Capacity,,Kapacitet,,COM,N,DOS,MS-DOS,Defrag
CAPS LOCK,,CAPS LOCK,,GEN,N,DOS,MS-DOS,generell term
caret (^),,insättningstecken,,GEN,N,DOS,MS-DOS,generell term
Catalog,,Filförteckning,,MNU,N,DOS,MS-DOS,Backup-modul
Catalog,,Filförteckning,F,DIA,N,DOS,MS-DOS,Backup-modul
Catalog File Path,,Sökväg för fil med filförteckning,,TXB,N,DOS,MS-DOS,Backup-modul
catalog file(s),,(filer med) filförteckningar,,TXT,N,DOS,MS-DOS,Backup-modul
Catalog menu,,Filförteckningsmeny,,DIA,N,DOS,MS-DOS,Backup-modul
catalog path,,sökväg för filförteckning,,TXT,N,DOS,MS-DOS,Backup-modul
Catalog rebuild,,Återskapande av filförteckning,,DIA,N,DOS,MS-DOS,Backup-modul
CAUTION,,Varning!,,GEN,N,DOS,MS-DOS,generell term
CGA Colors,,CGA-färger,G,OPT,N,DOS,MS-DOS,Backup-modul
"chain, lost (CHKDSK)",,förlorade kedjor,,GEN,N,DOS,MS-DOS,generell term
change,,"ändra, byta",,GEN,N,DOS,MS-DOS,generell term
Change Drive/Directory,,   Ändra enhet/katalog ,E,BUT,N,DOS,MS-DOS,Undel-modul
change-line (doorlock) support,,stöd för kontroll av diskettlucka,,GEN,N,DOS,MS-DOS,generell term
character,,tecken,,GEN,N,DOS,MS-DOS,generell term
character set,,teckenuppsättning,,GEN,N,DOS,MS-DOS,generell term
character table,,teckentabell,,GEN,N,DOS,MS-DOS,generell term
check,,"markera/bocka för, kontrollera, även ""kryssa för""",,GEN,N,DOS,MS-DOS,generell term
Check All Files,,Kontrollera alla filer,F,CHX,N,DOS,MS-DOS,MSAVF-modul
check box,,kryssruta,,GEN,N,DOS,MS-DOS,generell term
Checklist file,,Checklistefil ,,DIA,N,DOS,MS-DOS,MSAVF-modul
Checksum,,Kontrollsumma,,TXT,N,DOS,MS-DOS,MSAVF-modul
child directory,,underkatalog,,GEN,N,DOS,MS-DOS,generell term
choose,,välja,,GEN,V,DOS,MS-DOS,generell term
Choose (Y),,"Välj ""J"" ",,GEN,N,DOS,MS-DOS,generell term
Choose OK,,"Välj ""OK""",,GEN,N,DOS,MS-DOS,generell term
Choosing the catalog...=Catalog,,Filförteckning,,BUT,N,DOS,MS-DOS,Backup-modul
class name,,klassnamn,,GEN,N,DOS,MS-DOS,generell term
Clean,,Rensa,,COM,V,DOS,MS-DOS,MSAVF-modul
clear,,ta bort,,GEN,N,DOS,MS-DOS,generell term
click,,klicka,,TXT,V,DOS,MS-DOS,Backup-modul
click (on),,"klicka (på), även ""klicka i""",,GEN,N,DOS,MS-DOS,generell term
cluster,,grupp,,GEN,N,DOS,MS-DOS,generell term + Undel-modul
"cluster, lost (CHKDSK)",,förlorade grupper,,GEN,N,DOS,MS-DOS,generell term
co-processor,,hjälpprocessor,,GEN,N,DOS,MS-DOS,generell term
code character table (GRAFTABL),,kodteckentabell,,GEN,N,DOS,MS-DOS,generell term
"code page (MODE,DRIVER)",,teckentabell,,GEN,N,DOS,MS-DOS,generell term
code page support,,stöd för teckentabell,,GEN,N,DOS,MS-DOS,generell term
code page switching,,byte  (växlling) av teckentabell,,GEN,N,DOS,MS-DOS,generell term
code segment,,kodsegment,,GEN,N,DOS,MS-DOS,generell term
Collapse Branch,,Dölj underkataloger,,COM,N,DOS,MS-DOS,Backup-modul
collating sequence,,sorteringsordning,,GEN,N,DOS,MS-DOS,generell term
colon,,kolon,,GEN,N,DOS,MS-DOS,generell term
"com port, communication port",,kommunikationsport,,GEN,N,DOS,MS-DOS,generell term
combination box,,kombinationsruta,,TXT,N,DOS,MS-DOS,Backup-modul
combine files [v],,kombinera filer,,GEN,N,DOS,MS-DOS,generell term
combined stack segment,,kombinerat stacksegment,,GEN,N,DOS,MS-DOS,generell term
combined type,,kombinerad typ,,GEN,N,DOS,MS-DOS,generell term
command,,kommando,,GEN,N,DOS,MS-DOS,generell term + Undel-modul
command button,,kommandoknapp,,GEN,N,DOS,MS-DOS,generell term + Backup-modul
command completion (interruptable by  BREAK),,slutförande av kommando,,GEN,N,DOS,MS-DOS,generell term
command editing keys,,tangenter för kommandoredigering,,GEN,N,DOS,MS-DOS,generell term
command input,,indata till kommando,,GEN,N,DOS,MS-DOS,generell term
command interpreter,,kommandotolk,,GEN,N,DOS,MS-DOS,generell term
command line,,kommandorad,,GEN,N,DOS,MS-DOS,generell term
command line screen,,skärmsida med kommandorad ,,GEN,N,DOS,MS-DOS,generell term
command macro,,kommandomakro,,GEN,N,DOS,MS-DOS,generell term
command name,,kommandonamn,,GEN,N,DOS,MS-DOS,generell term
command output,,utdata från kommando,,GEN,N,DOS,MS-DOS,generell term
command path,,kommandosökväg,,GEN,N,DOS,MS-DOS,generell term
command processor,,kommandotolk,,GEN,N,DOS,MS-DOS,generell term
command prompt,,DOS-prompt,,GEN,N,DOS,MS-DOS,generell term
Command-Line,,Kommandorad,,GEN,N,DOS,MS-DOS,Undel-modul
command-line option,,kommandoradsalternativ,,TXT,N,DOS,MS-DOS,Backup-modul
Commands,,   Kommandon,,COM,N,DOS,MS-DOS,Undel-modul
comment,,kommentar,,GEN,N,DOS,MS-DOS,generell term
Compare,,   Jämför,J,COM,V,DOS,MS-DOS,Backup-modul
Compare,,Jämför,J,DIA,V,DOS,MS-DOS,Backup-modul
Compare canceled.,,Jämför avbrutet.,,TXT,N,DOS,MS-DOS,Backup-modul
Compare Complete,,Jämför klart,,DIA,N,DOS,MS-DOS,Backup-modul
Compare Files,,Jämför filer,J,DIA,N,DOS,MS-DOS,Backup-modul
Compare From,,Jämför från,N,DIA,N,DOS,MS-DOS,Backup-modul
Compare Options,,Alternativ för Jämför,,TDB,N,DOS,MS-DOS,Backup-modul
Compare phase of the compatibility test is complete.,,Jämförfasen av kompatibilitetstestet är färdig.,,TXT,N,DOS,MS-DOS,Backup-modul
Compare Progress window,,Förloppsfönster för Jämför,,DIA,N,DOS,MS-DOS,Backup-modul
Compare Time,,Jämför tid,,DIA,N,DOS,MS-DOS,Backup-modul
Compare To,,Jämför till ,T,DIA,N,DOS,MS-DOS,Backup-modul
Comparing and tracking files,,Jämför och spårar filer,,GEN,N,DOS,MS-DOS,generell term
compatibility,,kompatibilitet,,GEN,N,DOS,MS-DOS,generell term
Compatibility Options,,Kompatibilitetsalternativ,,DIA,N,DOS,MS-DOS,Backup-modul
Compatibility Test,,Kompatibilitetstest,K,BUT,N,DOS,MS-DOS,Backup-modul
compiler,,kompilator,,GEN,N,DOS,MS-DOS,generell term
Complete,,fullständig,F,DIA,ADJ,DOS,MS-DOS,Backup-modul
Complete (adj),,Klar(t),,DIA,ADJ,DOS,MS-DOS,Backup-modul
complex,,komplex,,GEN,ADJ,DOS,MS-DOS,generell term
component file,,komponentfil,,TXT,N,DOS,MS-DOS,Backup-modul
component files,,komponentfiler,,TXT,N,DOS,MS-DOS,Backup-modul
Compress Backup Data,,Komprimera säkerhetskopierade data,,CHX,N,DOS,MS-DOS,Backup-modul
Compression header,,komprimeringsrubrik,,TXT,N,DOS,MS-DOS,Backup-modul
concatenate [v],,länka samman,,GEN,N,DOS,MS-DOS,generell term
concealed,,dold,,GEN,ADJ,DOS,MS-DOS,generell term
Condition,,Tillstånd,,DIA,N,DOS,MS-DOS,Undel-modul
Condition Destroyed,,Tillstånd: Förstörd,,DIA,N,DOS,MS-DOS,Undel-modul
